Element,Shell Angular Momentum,Exponents,Coefficients
27,3,"3.813700E+00, 9.309000E-01","1.000000E+00, 0.000000E+00"
27,4,2.470900E+00,1.0000000
28,0,"5.045991E+06, 7.556142E+05, 1.719568E+05, 4.870479E+04, 1.588841E+04, 5.735123E+03, 2.236137E+03, 9.266468E+02, 4.031743E+02, 1.823476E+02, 8.454885E+01, 3.839634E+01, 1.845859E+01, 8.863548E+00, 3.916227E+00, 1.838870E+00, 8.043620E-01, 1.697970E-01, 7.930600E-02, 3.467700E-02","8.208996E-06, 6.382884E-05, 3.355800E-04, 1.415075E-03, 5.124444E-03, 1.643256E-02, 4.689398E-02, 1.163534E-01, 2.350511E-01, 3.350184E-01, 2.534779E-01, 7.300901E-02, 6.184244E-02, 6.302956E-02, 1.008063E-02, -2.244528E-04, -5.932767E-05, -1.158562E-05, 8.115109E-06, -1.681699E-06"
28,1,"2.102792E+04, 4.977560E+03, 1.616740E+03, 6.186718E+02, 2.625183E+02, 1.196907E+02, 5.746585E+01, 2.852829E+01, 1.452148E+01, 7.453850E+00, 3.723553E+00, 1.809813E+00, 8.513360E-01, 3.248140E-01, 1.195220E-01, 4.236600E-02","4.100000E-05, 3.630000E-04, 2.097000E-03, 9.250000E-03, 3.279600E-02, 9.400400E-02, 2.082800E-01, 3.336540E-01, 3.329040E-01, 1.553720E-01, 2.085900E-02, -2.440000E-03, -1.998000E-03, -3.380000E-04, 3.500000E-05, -1.200000E-05"
28,2,"1.402527E+02, 4.172610E+01, 1.539810E+01, 6.277100E+00, 2.618500E+00, 1.052600E+00, 3.916000E-01, 1.262000E-01","3.376000E-03, 2.514100E-02, 9.774600E-02, 2.347090E-01, 3.469450E-01, 3.510680E-01, 2.502550E-01, 1.000820E-01"
28,3,"4.504600E+00, 1.128600E+00","1.000000E+00, 0.000000E+00"
28,4,2.977100E+00,1.0000000
29,0,"5.430321E+06, 8.131665E+05, 1.850544E+05, 5.241466E+04, 1.709868E+04, 6.171994E+03, 2.406481E+03, 9.972584E+02, 4.339289E+02, 1.962869E+02, 9.104280E+01, 4.138425E+01, 1.993278E+01, 9.581891E+00, 4.234516E+00, 1.985814E+00, 8.670830E-01, 1.813390E-01, 8.365700E-02, 3.626700E-02","7.801026E-06, 6.065666E-05, 3.188964E-04, 1.344687E-03, 4.869050E-03, 1.561013E-02, 4.452077E-02, 1.103111E-01, 2.220342E-01, 3.133739E-01, 2.315121E-01, 7.640920E-02, 1.103818E-01, 1.094372E-01, 1.836311E-02, -6.043084E-04, 5.092245E-05, -5.540730E-05, 3.969482E-05, -1.269538E-05"
29,1,"2.276057E+04, 5.387679E+03, 1.749945E+03, 6.696653E+02, 2.841948E+02, 1.296077E+02, 6.225415E+01, 3.092964E+01, 1.575827E+01, 8.094211E+00, 4.046921E+00, 1.967869E+00, 9.252950E-01, 3.529920E-01, 1.273070E-01, 4.435600E-02","4.000000E-05, 3.610000E-04, 2.083000E-03, 9.197000E-03, 3.266000E-02, 9.379500E-02, 2.082740E-01, 3.339930E-01, 3.324930E-01, 1.547280E-01, 2.127100E-02, -1.690000E-03, -1.516000E-03, -2.420000E-04, 2.300000E-05, -9.000000E-06"
29,2,"1.738970E+02, 5.188690E+01, 1.934190E+01, 7.975720E+00, 3.398230E+00, 1.409320E+00, 5.488580E-01, 1.901990E-01","2.700000E-03, 2.090900E-02, 8.440800E-02, 2.139990E-01, 3.359800E-01, 3.573010E-01, 2.645780E-01, 1.039720E-01"
29,3,"5.082100E+00, 1.279700E+00","1.000000E+00, 0.000000E+00"
29,4,3.483500E+00,1.0000000
30,0,"5.820021E+06, 8.715234E+05, 1.983350E+05, 5.617631E+04, 1.832582E+04, 6.614955E+03, 2.579199E+03, 1.068849E+03, 4.651045E+02, 2.104130E+02, 9.761629E+01, 4.438020E+01, 2.142308E+01, 1.030891E+01, 4.553645E+00, 2.132821E+00, 9.296970E-01, 1.921470E-01, 8.759500E-02, 3.770200E-02","8.549241E-06, 6.647410E-05, 3.494962E-04, 1.473832E-03, 5.338330E-03, 1.712708E-02, 4.894085E-02, 1.217934E-01, 2.476589E-01, 3.582431E-01, 2.798174E-01, 6.857491E-02, -1.311092E-03, 1.914001E-03, -8.759220E-04, 3.740096E-04, -1.401399E-04, 4.757132E-05, -3.642711E-05, 1.153248E-05"
30,1,"2.441198E+04, 5.778518E+03, 1.876862E+03, 7.182361E+02, 3.048327E+02, 1.390453E+02, 6.680417E+01, 3.320699E+01, 1.692816E+01, 8.696229E+00, 4.350510E+00, 2.116523E+00, 9.953870E-01, 3.781120E-01, 1.345790E-01, 4.628200E-02","4.100000E-05, 3.610000E-04, 2.088000E-03, 9.221000E-03, 3.277300E-02, 9.417900E-02, 2.091320E-01, 3.345690E-01, 3.303590E-01, 1.523470E-01, 2.298400E-02, 1.607000E-03, 4.680000E-04, 6.600000E-05, -2.000000E-06, 0.000000E+00"
30,2,"2.056177E+02, 6.144981E+01, 2.305689E+01, 9.577739E+00, 4.133734E+00, 1.747518E+00, 6.995600E-01, 2.516080E-01","2.342000E-03, 1.860600E-02, 7.710200E-02, 2.020260E-01, 3.294540E-01, 3.609760E-01, 2.716570E-01, 1.049810E-01"
30,3,"5.792200E+00, 1.485100E+00","1.000000E+00, 0.000000E+00"
30,4,4.114400E+00,1.0000000
31,0,"6.558157E+06, 9.820253E+05, 2.234677E+05, 6.328829E+04, 2.064294E+04, 7.450522E+03, 2.905074E+03, 1.204210E+03, 5.243045E+02, 2.374656E+02, 1.105787E+02, 5.137462E+01, 2.444085E+01, 1.176859E+01, 5.342119E+00, 2.495036E+00, 1.098773E+00, 2.601800E-01, 1.270790E-01, 5.440800E-02","8.000000E-06, 6.220000E-05, 3.270000E-04, 1.379400E-03, 4.999300E-03, 1.606050E-02, 4.601240E-02, 1.152224E-01, 2.373921E-01, 3.531989E-01, 2.915500E-01, 8.121290E-02, 7.655000E-04, 1.612400E-03, -7.530000E-04, 3.134000E-04, -1.306000E-04, 5.130000E-05, -3.790000E-05, 1.090000E-05"
31,1,"8.050167E+03, 1.907536E+03, 6.186275E+02, 2.353242E+02, 9.889965E+01, 4.424822E+01, 2.061743E+01, 9.780516E+00, 4.441238E+00, 1.964045E+00, 8.335780E-01, 1.934450E-01, 5.611700E-02","3.169000E-04, 2.764800E-03, 1.512040E-02, 5.995830E-02, 1.733120E-01, 3.410820E-01, 3.896967E-01, 1.839817E-01, 2.188960E-02, 1.160800E-03, 2.735000E-04, 1.260000E-05, -4.600000E-06"
31,2,"2.441474E+02, 7.306759E+01, 2.759208E+01, 1.154652E+01, 5.048628E+00, 2.178465E+00, 9.002530E-01, 3.373270E-01, 1.169000E-01","2.027000E-03, 1.650880E-02, 7.038230E-02, 1.911430E-01, 3.254092E-01, 3.678199E-01, 2.744685E-01, 9.562320E-02, 0.000000E+00"
31,3,2.881000E-01,1.0000000
32,0,"7.447967E+06, 1.115318E+06, 2.538426E+05, 7.191529E+04, 2.347018E+04, 8.477492E+03, 3.308391E+03, 1.372605E+03, 5.982201E+02, 2.713860E+02, 1.269780E+02, 6.022207E+01, 2.801858E+01, 1.351752E+01, 6.309406E+00, 2.904534E+00, 1.287556E+00, 3.365520E-01, 1.677320E-01, 7.106900E-02","7.400000E-06, 5.740000E-05, 3.019000E-04, 1.273300E-03, 4.612300E-03, 1.482140E-02, 4.255360E-02, 1.073055E-01, 2.245178E-01, 3.453131E-01, 3.045261E-01, 9.906700E-02, 4.131700E-03, 1.034700E-03, -4.856000E-04, 1.805000E-04, -9.120000E-05, 3.780000E-05, -2.660000E-05, 7.200000E-06"
32,1,"6.979598E+03, 1.654165E+03, 5.360286E+02, 2.035371E+02, 8.523753E+01, 3.784196E+01, 1.740651E+01, 7.881492E+00, 3.533213E+00, 1.521473E+00, 5.627040E-01, 1.990930E-01, 6.703100E-02","4.569000E-04, 3.956200E-03, 2.131430E-02, 8.187150E-02, 2.223732E-01, 3.905659E-01, 3.560415E-01, 1.070312E-01, 3.694100E-03, 1.921900E-03, -4.164000E-04, 1.917000E-04, -6.120000E-05"
32,2,"2.822391E+02, 8.454996E+01, 3.207366E+01, 1.349750E+01, 5.958550E+00, 2.610788E+00, 1.103987E+00, 4.240490E-01, 1.520000E-01","1.827500E-03, 1.515450E-02, 6.604600E-02, 1.839470E-01, 3.227872E-01, 3.729459E-01, 2.751730E-01, 8.852340E-02, 0.000000E+00"
32,3,3.458000E-01,1.0000000
33,0,"8.482340E+06, 1.270151E+06, 2.890570E+05, 8.187985E+04, 2.671656E+04, 9.647584E+03, 3.764119E+03, 1.561566E+03, 6.808147E+02, 3.092412E+02, 1.452574E+02, 6.973905E+01, 3.177032E+01, 1.539176E+01, 7.341526E+00, 3.323716E+00, 1.485867E+00, 4.210860E-01, 2.115000E-01, 8.897400E-02","6.800000E-06, 5.280000E-05, 2.774000E-04, 1.170200E-03, 4.242100E-03, 1.365570E-02, 3.933990E-02, 9.992920E-02, 2.121555E-01, 3.363866E-01, 3.155125E-01, 1.181312E-01, 8.007600E-03, 3.293000E-04, -1.523000E-04, 2.470000E-05, -3.660000E-05, 1.450000E-05, -9.400000E-06, 2.600000E-06"
33,1,"7.423861E+03, 1.759517E+03, 5.702292E+02, 2.165800E+02, 9.073425E+01, 4.030879E+01, 1.855550E+01, 8.396543E+00, 3.767367E+00, 1.629701E+00, 5.682630E-01, 2.225030E-01, 8.040500E-02","4.599000E-04, 3.982300E-03, 2.146380E-02, 8.246170E-02, 2.238902E-01, 3.920704E-01, 3.542238E-01, 1.048641E-01, 3.366400E-03, 1.849500E-03, -4.496000E-04, 2.297000E-04, -7.190000E-05"
33,2,"3.210196E+02, 9.624931E+01, 3.664496E+01, 1.549396E+01, 6.891138E+00, 3.054831E+00, 1.314241E+00, 5.134300E-01, 1.877000E-01","1.684000E-03, 1.415860E-02, 6.282590E-02, 1.784993E-01, 3.209452E-01, 3.773515E-01, 2.750231E-01, 8.288340E-02, 0.000000E+00"
33,3,4.158000E-01,1.0000000
34,0,"9.563600E+06, 1.432100E+06, 3.259100E+05, 9.231200E+04, 3.011600E+04, 1.087200E+04, 4.240100E+03, 1.758400E+03, 7.665900E+02, 3.484300E+02, 1.640300E+02, 7.914200E+01, 3.552400E+01, 1.730500E+01, 8.378400E+00, 3.740500E+00, 1.689000E+00, 5.092700E-01, 2.552000E-01, 1.065100E-01","6.300000E-06, 4.890000E-05, 2.574000E-04, 1.086100E-03, 3.939900E-03, 1.270410E-02, 3.671560E-02, 9.386720E-02, 2.017677E-01, 3.280540E-01, 3.238334E-01, 1.352337E-01, 1.170750E-02, -3.436000E-04, 1.665000E-04, -1.188000E-04, 2.040000E-05, -1.170000E-05, 8.300000E-06, -1.900000E-06"
34,1,"8.004300E+03, 1.896900E+03, 6.147100E+02, 2.335000E+02, 9.785600E+01, 4.351400E+01, 2.006300E+01, 9.112700E+00, 4.106300E+00, 1.794900E+00, 6.243200E-01, 2.461500E-01, 8.891700E-02","4.505000E-04, 3.904900E-03, 2.109010E-02, 8.129200E-02, 2.217841E-01, 3.907270E-01, 3.559714E-01, 1.073272E-01, 3.698500E-03, 1.803200E-03, -4.501000E-04, 2.208000E-04, -7.220000E-05"
34,2,"3.618500E+02, 1.085500E+02, 4.143300E+01, 1.757900E+01, 7.862700E+00, 3.518000E+00, 1.534800E+00, 6.081300E-01, 2.220000E-01","1.565500E-03, 1.332620E-02, 6.015270E-02, 1.740293E-01, 3.195690E-01, 3.812029E-01, 2.746086E-01, 7.825510E-02, 0.000000E+00"
34,3,4.620000E-01,1.0000000
35,0,"1.063900E+07, 1.593400E+06, 3.626100E+05, 1.027000E+05, 3.350100E+04, 1.209300E+04, 4.715900E+03, 1.955600E+03, 8.526100E+02, 3.876700E+02, 1.826800E+02, 8.824500E+01, 3.926300E+01, 1.923400E+01, 9.405700E+00, 4.160100E+00, 1.899500E+00, 6.047200E-01, 3.011400E-01, 1.251500E-01","5.900000E-06, 4.610000E-05, 2.422000E-04, 1.022600E-03, 3.711300E-03, 1.197850E-02, 3.469270E-02, 8.912390E-02, 1.934557E-01, 3.209019E-01, 3.299233E-01, 1.494121E-01, 1.499380E-02, -9.165000E-04, 4.380000E-04, -2.398000E-04, 7.360000E-05, -3.670000E-05, 2.390000E-05, -5.600000E-06"
35,1,"8.676500E+03, 2.055900E+03, 6.662300E+02, 2.531000E+02, 1.061200E+02, 4.724200E+01, 2.182500E+01, 9.968400E+00, 4.517100E+00, 1.998200E+00, 7.098800E-01, 2.814500E-01, 1.020400E-01","4.357000E-04, 3.781500E-03, 2.047820E-02, 7.928340E-02, 2.178473E-01, 3.878585E-01, 3.594350E-01, 1.121995E-01, 4.387400E-03, 1.780900E-03, -4.576000E-04, 2.122000E-04, -7.340000E-05"
35,2,"4.038300E+02, 1.211700E+02, 4.634500E+01, 1.972100E+01, 8.862400E+00, 3.996200E+00, 1.763600E+00, 7.061900E-01, 2.639000E-01","1.473200E-03, 1.267250E-02, 5.804510E-02, 1.705103E-01, 3.185958E-01, 3.845023E-01, 2.737737E-01, 7.439670E-02, 0.000000E+00"
35,3,5.515000E-01,1.0000000
36,0,"1.171811E+07, 1.754604E+06, 3.992813E+05, 1.130846E+05, 3.688593E+04, 1.331221E+04, 5.189988E+03, 2.151660E+03, 9.380325E+02, 4.265573E+02, 2.010666E+02, 9.709761E+01, 4.299872E+01, 2.117707E+01, 1.042675E+01, 4.585008E+00, 2.117603E+00, 7.070570E-01, 3.492250E-01, 1.448210E-01","5.600000E-06, 4.380000E-05, 2.305000E-04, 9.733000E-04, 3.533700E-03, 1.141670E-02, 3.313250E-02, 8.544640E-02, 1.869124E-01, 3.149761E-01, 3.343334E-01, 1.608810E-01, 1.784350E-02, -1.379300E-03, 6.572000E-04, -3.388000E-04, 1.211000E-04, -5.890000E-05, 3.660000E-05, -8.600000E-06"
36,1,"9.366309E+03, 2.219554E+03, 7.194529E+02, 2.734645E+02, 1.147523E+02, 5.115557E+01, 2.368268E+01, 1.087548E+01, 4.955131E+00, 2.217267E+00, 8.064100E-01, 3.221540E-01, 1.176190E-01","4.231000E-04, 3.674300E-03, 1.993120E-02, 7.742220E-02, 2.140386E-01, 3.848556E-01, 3.626340E-01, 1.170818E-01, 5.121000E-03, 1.753900E-03, -4.573000E-04, 2.199000E-04, -6.680000E-05"
36,2,"4.461613E+02, 1.339648E+02, 5.134591E+01, 2.191691E+01, 9.893725E+00, 4.492527E+00, 2.002293E+00, 8.084090E-01, 3.006000E-01","1.404400E-03, 1.217150E-02, 5.639190E-02, 1.676430E-01, 3.177368E-01, 3.872647E-01, 2.728006E-01, 7.120840E-02, 0.000000E+00"
36,3,6.622000E-01,1.0000000
