Element,Shell Angular Momentum,Exponents,Coefficients
11,0,"4.230000E+05, 6.334000E+04, 1.441000E+04, 4.077000E+03, 1.328000E+03, 4.786000E+02, 1.862000E+02, 7.692000E+01, 3.332000E+01, 1.500000E+01, 6.869000E+00, 2.683000E+00, 1.109000E+00, 4.540000E-01, 6.015000E-02, 2.382000E-02","1.806180E-05, 1.404300E-04, 7.384380E-04, 3.111820E-03, 1.120810E-02, 3.528280E-02, 9.598970E-02, 2.137350E-01, 3.486880E-01, 3.245660E-01, 1.126330E-01, 7.067970E-03, 5.980100E-04, 2.041300E-04, -5.308700E-06, 1.826050E-06"
11,1,"2.433000E+02, 5.739000E+01, 1.810000E+01, 6.575000E+00, 2.521000E+00, 9.607000E-01, 3.512000E-01, 9.827000E-02, 3.734000E-02, 1.500000E-02","2.243920E-03, 1.739970E-02, 7.741250E-02, 2.191020E-01, 3.785220E-01, 3.949020E-01, 1.604240E-01, 2.333110E-03, 1.995360E-03, -7.773440E-04"
11,3,1.284000E-01,1.0000000
11,2,"1.473000E-01, 6.230000E-02","1.000000E+00, 0.000000E+00"
12,0,"1.649000E+05, 2.471000E+04, 5.628000E+03, 1.596000E+03, 5.210000E+02, 1.880000E+02, 7.301000E+01, 2.990000E+01, 1.254000E+01, 4.306000E+00, 1.826000E+00, 7.417000E-01, 1.457000E-01, 7.612000E-02, 3.310000E-02","7.299290E-05, 5.666520E-04, 2.962690E-03, 1.229620E-02, 4.273240E-02, 1.230130E-01, 2.748320E-01, 4.018180E-01, 2.646970E-01, 3.326120E-02, -4.413350E-03, 2.060240E-03, -8.384700E-04, 7.081950E-04, -2.006020E-04"
12,1,"3.169000E+02, 7.486000E+01, 2.372000E+01, 8.669000E+00, 3.363000E+00, 1.310000E+00, 4.911000E-01, 2.364000E-01, 8.733000E-02, 3.237000E-02","2.075320E-03, 1.628690E-02, 7.386970E-02, 2.142970E-01, 3.821540E-01, 3.981780E-01, 1.528780E-01, -4.375400E-03, 6.295820E-03, -1.567690E-03"
12,3,2.417000E-01,1.0000000
12,2,"2.998000E-01, 1.285000E-01","1.000000E+00, 0.000000E+00"
13,0,"2.055000E+05, 3.078000E+04, 7.006000E+03, 1.985000E+03, 6.491000E+02, 2.350000E+02, 9.162000E+01, 3.767000E+01, 1.591000E+01, 5.850000E+00, 2.542000E+00, 1.057000E+00, 2.931000E-01, 1.455000E-01, 5.650000E-02","6.788360E-05, 5.271490E-04, 2.762030E-03, 1.147280E-02, 3.981880E-02, 1.150400E-01, 2.608870E-01, 3.963860E-01, 2.845970E-01, 4.445830E-02, -4.898380E-03, 2.612530E-03, -1.089150E-03, 7.220680E-04, -1.784850E-04"
13,1,"4.444000E+02, 1.051000E+02, 3.347000E+01, 1.233000E+01, 4.869000E+00, 1.961000E+00, 7.834000E-01, 1.888000E-01, 5.557000E-02","1.627860E-03, 1.306870E-02, 6.123410E-02, 1.878700E-01, 3.604520E-01, 4.084540E-01, 1.886400E-01, 9.765140E-03, -1.150570E-03"
